method,instruction_type,n,mean,ci_lo,ci_hi,ci_half
DPO_NoInstruct,empathetic,300,0.5322885584831237,0.5273508757485488,0.5372200182735734,0.004934571262512288
DPO_NoInstruct,safety_first,300,0.5587541911999384,0.5533779056140335,0.56403082308669,0.005326458736328199
DPO_NoInstruct,educational,300,0.5204377579689026,0.5159987542872331,0.5251570671914864,0.004579156452126643
DPO_NoInstruct,concise,300,0.543381791015466,0.5394386647016799,0.5472436145644952,0.0039024749314076623
DPO_NoInstruct,professional,300,0.5266556558012963,0.5223445873452571,0.5311224310475772,0.004388921851160021
DPO_NoInstruct,creative,300,0.5338644831379254,0.5294187862795812,0.5382567907067711,0.00441900221359498
DPO_Instruct,neutral,300,0.5853545028964678,0.5779938531386425,0.5931888528186118,0.007597499839984645
DPO_Instruct,conservative,300,0.5632753011584282,0.5575175055118066,0.5695805316167001,0.0060315130524467575
DPO_Instruct,liberal,300,0.5818735380967458,0.5755669499566215,0.5885071389438629,0.006470094493620682
DPO_Instruct,regulatory_aware,300,0.5794952883323033,0.5739679785984045,0.585347903031027,0.0056899622163112396
DPO_Instruct,empathetic,300,0.5503471610943477,0.5444698629048993,0.5565545753342194,0.0060423562146600385
DPO_Instruct,safety_first,300,0.5717451122403144,0.5644091946447289,0.5795682969740534,0.007579551164662246
DPO_Instruct,educational,300,0.5481539503733317,0.5425907620428523,0.5541393664887164,0.005774302222932071
DPO_Instruct,concise,300,0.5499718608458837,0.5449664469913215,0.5553174425257349,0.005175497767206716
DPO_Instruct,professional,300,0.5717532393336296,0.56329801692836,0.5811179666427262,0.00890997485718309
DPO_Instruct,creative,300,0.5483315598964691,0.5426418981077213,0.5542184413991331,0.005788271645705889
PPO_NoInstruct,neutral,300,0.554781898856163,0.5500522024344839,0.5597889605491733,0.004868379057344663
PPO_NoInstruct,conservative,300,0.5597508505980173,0.5549168502299564,0.5648025126738552,0.004942831221949384
PPO_NoInstruct,liberal,300,0.5514690936605136,0.5467432927787329,0.556266269632373,0.00476148842682006
PPO_NoInstruct,regulatory_aware,300,0.5654714104533195,0.5603293614925381,0.5704839816398443,0.005077310073653085
PPO_NoInstruct,empathetic,300,0.5311732036868732,0.5262488122238769,0.536339910257732,0.005045549016927553
PPO_NoInstruct,safety_first,300,0.5547886790831884,0.5497245553530341,0.5599358878314695,0.00510566623921771
PPO_NoInstruct,educational,300,0.5248045681913693,0.520280613643599,0.5295028741323611,0.004611130244381034
PPO_NoInstruct,concise,300,0.5437918644150098,0.540016297413018,0.5476452471648561,0.003814474875919016
PPO_NoInstruct,professional,300,0.5250522881746292,0.5207697814015414,0.529426314317031,0.0043282664577448116
PPO_NoInstruct,creative,300,0.5345897547403972,0.5298867009861218,0.539444608023203,0.0047789535185406296
PPO_Instruct,neutral,300,0.5785899659991265,0.5718122961380575,0.586021346533687,0.007104525197814737
PPO_Instruct,conservative,300,0.5650317064921061,0.558707988334184,0.571934208215904,0.006613109940860007
PPO_Instruct,liberal,300,0.569513469239076,0.563062893818492,0.5763113031579127,0.006624204669710365
PPO_Instruct,regulatory_aware,300,0.579854454199473,0.5739220932202048,0.586167940910164,0.006122923844979589
PPO_Instruct,empathetic,300,0.5454730097452799,0.5402073741602056,0.5514324754680071,0.005612550653900761
PPO_Instruct,safety_first,300,0.5792309019962947,0.5713924374511854,0.5879626285683066,0.008285095558560607
PPO_Instruct,educational,300,0.5472571289539337,0.5418015885226452,0.5529173234236614,0.005557867450508125
PPO_Instruct,concise,300,0.5513654031356175,0.5459688945524039,0.5572937076675593,0.005662406557577659
PPO_Instruct,professional,300,0.5694210401177406,0.5612681617506419,0.5785571231418577,0.008644480695607915
PPO_Instruct,creative,300,0.5478471599022547,0.5418905935900711,0.5545525216165145,0.006330964013221696
GRPO_NoInstruct,neutral,300,0.5566938916842142,0.5519068091835999,0.561760762416461,0.004926976616430545
GRPO_NoInstruct,conservative,300,0.5603686878085137,0.5554868127084023,0.5654657755839851,0.004989481437791432
GRPO_NoInstruct,liberal,300,0.5527573929230372,0.5479469090100172,0.5580110285854573,0.0050320597877200335
GRPO_NoInstruct,regulatory_aware,300,0.561703286965688,0.5564765246469037,0.5670052294979755,0.005264352425535912
GRPO_NoInstruct,empathetic,300,0.5316458536187808,0.5271934003066041,0.536139967153816,0.004473283423605923
GRPO_NoInstruct,safety_first,300,0.55504353394111,0.5500833553540951,0.5601105931614856,0.005013618903695227
GRPO_NoInstruct,educational,300,0.5268745391567549,0.5221661075844919,0.5315957796859508,0.004714836050729476
GRPO_NoInstruct,concise,300,0.542687943081061,0.5387675225796017,0.5467546390857324,0.003993558253065355
GRPO_NoInstruct,professional,300,0.5321613800525665,0.5279183099218989,0.5364990388219089,0.004290364450004969
GRPO_NoInstruct,creative,300,0.5305988813440005,0.5267923113301464,0.5343975415490307,0.0038026151094421867
GRPO_Instruct,neutral,300,0.5848275718092918,0.577437238167307,0.5927116460340739,0.007637203933383463
GRPO_Instruct,conservative,300,0.5694830625255902,0.5628774799073158,0.576733677954681,0.006928099023682577
GRPO_Instruct,liberal,300,0.5675158528486888,0.5606617127419802,0.5747508798698445,0.007044583563932172
GRPO_Instruct,regulatory_aware,300,0.5809485224882761,0.575247745821077,0.5868219484386383,0.005787101308780684
GRPO_Instruct,empathetic,300,0.5490123987197876,0.543140739351574,0.5552032045339017,0.006031232591163838
